1	0	32	0
1	1	30	0
1	2	28	0
1	3	26	0
1	4	24	0
1	5	22	0
1	6	20	0
1	7	18	0
1	8	16	0
1	9	14	0
1	10	12	0
1	11	10	0
1	12	8	0
1	13	6	0
1	14	4	0
1	15	2	0
2	0	31	0
2	1	29	0
2	2	27	0
2	3	25	0
2	4	23	0
2	5	21	0
2	6	17	0
2	7	19	0
2	8	15	0
2	9	13	0
2	10	11	0
2	11	9	0
2	12	7	0
2	13	5	0
2	14	3	0
2	15	1	0
3	0	31	1
3	1	29	1
3	2	27	1
3	3	25	1
3	4	23	1
3	5	21	1
3	6	19	1 
3	7	17	1 
3	8	15	1 
3	9	13	1
3	10	11	1
3	11	9	1
3	12	7	1
3	13	5	1
3	14	3	1
3	15	1	1
4	0	32	1
4	1	30	1
4	2	28	1
4	3	26	1
4	4	24	1
4	5	22	1
4	6	20	1 
4	7	16	1 
4	8	18	1 
4	9	14	1
4	10	12	1
4	11	10	1
4	12	8	1
4	13	6	1
4	14	4	1
4	15	2	1
